subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanEvidence,groundTruthBinary,responseHappy,responseSad
1,24,31,8,4,4,39,12,41,22,48,10,40,23.58333333,0,1,0
1,29,43,41,25,45,33,10,31,50,35,44,44,35.83333333,1,0,1
1,39,14,28,48,38,39,21,6,10,11,14,11,23.25,0,0,1
1,35,12,2,5,34,28,23,48,28,2,17,48,23.5,0,1,0
1,22,19,21,23,46,6,15,42,12,31,30,48,26.25,1,0,1
1,27,16,21,2,38,40,34,50,11,28,28,20,26.25,1,0,1
1,22,15,48,19,49,5,1,39,45,11,3,11,22.33333333,0,1,0
1,31,41,30,18,13,37,14,20,42,29,14,32,26.75,1,1,0
1,43,6,48,38,12,33,35,38,38,28,34,31,32,1,0,1
1,33,9,40,3,34,50,47,47,1,1,16,11,24.33333333,0,0,1
1,46,3,44,17,25,23,6,6,3,1,16,29,18.25,0,0,1
1,46,43,13,37,44,40,24,11,33,39,37,16,31.91666667,1,1,0
1,3,16,17,26,42,48,16,48,26,10,49,41,28.5,1,1,0
1,11,35,28,34,35,34,13,39,30,10,9,31,25.75,1,1,0
1,38,8,13,23,30,20,44,11,3,22,50,40,25.16666667,0,0,1
1,32,16,41,46,48,6,38,21,40,46,31,11,31.33333333,1,1,0
1,28,27,33,49,30,37,7,26,21,42,43,29,31,1,1,0
1,39,8,40,40,2,34,44,24,15,49,26,34,29.58333333,1,0,1
1,24,34,3,14,24,28,32,28,35,5,37,12,23,0,1,0
1,46,7,31,33,7,40,41,22,49,9,1,33,26.58333333,1,1,0
1,48,42,50,28,43,18,14,25,38,20,42,21,32.41666667,1,1,0
1,12,37,7,20,4,36,6,48,22,12,46,15,22.08333333,0,0,1
1,34,48,15,42,14,6,22,3,49,2,27,4,22.16666667,0,1,0
1,34,45,1,16,21,28,7,33,32,14,40,15,23.83333333,0,0,1
1,8,7,15,35,10,26,20,17,4,17,28,3,15.83333333,0,0,1
1,12,47,14,20,32,31,5,24,32,23,36,21,24.75,0,1,0
1,13,1,27,2,15,33,14,28,15,38,2,27,17.91666667,0,0,1
1,44,8,19,28,8,14,9,41,11,24,29,25,21.66666667,0,0,1
1,3,26,34,37,37,41,11,38,17,11,33,10,24.83333333,0,1,0
1,17,5,47,28,44,17,39,18,2,9,17,44,23.91666667,0,0,1
1,14,1,41,25,6,45,17,26,49,35,36,3,24.83333333,0,1,0
1,27,49,45,13,2,16,38,6,24,15,42,45,26.83333333,1,0,1
1,50,26,39,2,22,50,25,12,31,11,43,37,29,1,1,0
1,44,15,39,11,27,45,46,24,46,2,32,21,29.33333333,1,1,0
1,37,22,21,28,18,19,46,5,25,6,32,42,25.08333333,0,0,1
1,39,3,10,11,32,42,27,19,30,6,30,40,24.08333333,0,0,1
1,40,20,12,4,17,42,36,9,42,38,32,26,26.5,1,0,1
1,27,1,47,35,2,6,37,41,43,23,26,6,24.5,0,1,0
1,47,10,9,10,36,14,29,39,31,15,32,14,23.83333333,0,0,1
1,30,50,6,28,15,31,25,7,22,25,32,39,25.83333333,1,1,0
1,21,47,50,33,28,37,37,40,26,3,39,9,30.83333333,1,1,0
1,21,10,22,7,37,24,20,46,35,26,42,45,27.91666667,1,1,0
1,44,11,42,18,50,46,12,28,36,12,5,32,28,1,0,1
1,47,4,48,13,45,8,37,43,7,3,10,24,24.08333333,0,0,1
1,31,43,6,8,7,27,24,8,28,12,42,39,22.91666667,0,1,0
1,35,14,43,37,49,30,47,41,23,47,28,24,34.83333333,1,1,0
1,24,4,27,11,44,2,39,28,13,29,20,37,23.16666667,0,0,1
1,30,18,45,7,3,28,26,30,25,38,46,15,25.91666667,1,0,1
1,23,31,12,21,31,31,20,27,33,43,15,22,25.75,1,1,0
1,22,12,27,29,2,11,12,34,9,18,50,34,21.66666667,0,1,0
1,27,20,43,47,47,12,39,10,29,3,41,11,27.41666667,1,0,1
1,22,8,10,26,6,18,41,20,1,16,7,7,15.16666667,0,0,1
1,12,37,23,3,13,12,30,45,41,40,37,40,27.75,1,1,0
1,16,39,49,46,17,23,28,3,23,49,34,3,27.5,1,1,0
1,29,32,30,28,5,45,36,9,39,20,21,3,24.75,0,1,0
1,24,35,30,49,13,11,17,1,40,23,23,31,24.75,0,0,1
1,29,36,3,32,2,46,50,12,6,40,48,40,28.66666667,1,1,0
1,20,10,21,33,38,14,37,31,9,22,37,19,24.25,0,0,1
1,8,45,3,13,39,18,16,13,13,23,17,20,19,0,0,1
1,18,42,11,48,17,1,4,4,50,50,35,40,26.66666667,1,1,0
1,5,48,7,34,26,28,45,45,48,50,35,22,32.75,1,1,0
1,5,8,38,14,7,11,27,40,18,12,14,35,19.08333333,0,0,1
1,48,35,34,25,9,3,35,3,25,41,2,10,22.5,0,1,0
1,40,16,23,17,16,17,38,12,21,41,42,20,25.25,0,1,0
1,13,43,38,28,21,31,7,40,48,29,1,11,25.83333333,1,0,1
1,19,35,10,5,3,45,13,30,11,5,20,40,19.66666667,0,1,0
1,23,24,18,2,21,14,44,25,30,9,8,22,20,0,0,1
1,12,43,11,11,49,17,7,27,36,2,25,17,21.41666667,0,1,0
1,27,17,48,37,27,23,19,23,16,46,14,39,28,1,1,0
1,5,44,20,18,44,11,10,29,2,42,50,18,24.41666667,0,1,0
1,3,9,1,23,8,33,37,26,13,31,9,30,18.58333333,0,0,1
1,39,14,44,31,47,15,45,3,29,39,5,36,28.91666667,1,1,0
1,17,3,36,9,37,45,29,48,2,49,24,47,28.83333333,1,1,0
1,17,6,50,35,30,23,44,18,19,37,11,36,27.16666667,1,0,1
1,43,44,36,16,41,25,31,34,47,34,23,48,35.16666667,1,0,1
1,39,4,37,31,19,20,46,27,19,28,15,30,26.25,1,0,1
1,38,50,24,49,36,18,37,23,36,13,49,24,33.08333333,1,1,0
1,7,43,32,23,43,37,42,10,40,27,22,26,29.33333333,1,1,0
1,48,25,17,14,14,10,40,13,34,40,18,41,26.16666667,1,0,1
1,34,46,4,23,7,34,12,33,49,42,34,7,27.08333333,1,1,0
1,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,0,1
1,24,2,6,38,49,35,13,45,27,36,9,6,24.16666667,0,0,1
1,1,25,12,49,29,1,26,39,20,40,8,14,22,0,0,1
1,7,36,12,40,24,6,5,27,5,49,19,30,21.66666667,0,0,1
1,14,29,30,23,33,32,5,46,26,45,19,9,25.91666667,1,1,0
1,12,48,41,40,19,9,24,32,21,45,21,11,26.91666667,1,1,0
1,11,31,39,47,34,9,15,42,9,13,19,25,24.5,0,0,1
1,24,50,4,16,49,45,14,10,8,28,25,45,26.5,1,1,0
1,4,41,42,41,15,37,22,12,20,36,19,37,27.16666667,1,1,0
1,21,1,45,23,36,20,26,44,29,26,19,12,25.16666667,0,0,1
1,30,4,1,18,23,14,14,11,25,48,12,42,20.16666667,0,0,1
1,30,41,29,44,14,27,31,5,16,25,9,6,23.08333333,0,1,0
1,7,40,9,33,1,5,39,23,15,39,46,19,23,0,0,1
1,4,47,3,38,6,43,14,8,44,48,41,27,26.91666667,1,1,0
