subject,singleFace,subjectFaceResponse
1,19,17.078125
1,48,41.9609375
1,45,33.85807292
1,11,8.911458333
1,17,1.127604167
1,16,9.23046875
1,29,25.56380208
1,35,33.66666667
1,40,41.70572917
1,21,17.33333333
1,6,9.166666667
1,18,9.23046875
1,44,49.80859375
1,13,17.33333333
1,9,9.166666667
1,23,25.56380208
1,34,33.73046875
1,10,17.14192708
1,4,9.0390625
1,37,42.15234375
1,5,17.14192708
1,43,49.93619792
1,46,49.93619792
1,3,17.33333333
1,22,25.62760417
1,30,33.921875
1,26,25.43619792
1,14,17.26953125
1,20,17.01432292
1,2,8.975260417
1,24,17.01432292
1,1,1.063802083
1,25,17.4609375
1,8,17.078125
1,32,33.73046875
1,7,17.20572917
1,36,41.70572917
1,50,49.87239583
1,15,17.26953125
1,28,25.43619792
1,49,49.93619792
1,47,49.93619792
1,33,41.64192708
1,27,25.5
1,12,9.0390625
1,38,41.89713542
1,42,49.93619792
1,31,25.69140625
1,41,41.578125
1,39,49.87239583
2,19,17.4288499
2,48,41.97660819
2,45,41.49902534
2,11,25.40448343
2,17,18.0497076
2,16,19.9122807
2,29,23.44639376
2,35,32.3294347
2,40,32.3294347
2,21,27.60136453
2,6,14.0380117
2,18,22.25243664
2,44,40.59161793
2,13,24.64035088
2,9,19.48245614
2,23,22.01364522
2,34,35.76803119
2,10,16.90350877
2,4,9.262183232
2,37,41.73781677
2,5,8.832358671
2,43,41.30799221
2,46,44.65107213
2,3,8.832358671
2,22,17.09454191
2,30,33.47563353
2,26,33.90545809
2,14,21.01072125
2,20,16.95126705
2,2,14.42007797
2,24,20.81968811
2,1,14.75438596
2,25,21.24951267
2,8,13.32163743
2,32,31.85185185
2,7,18.81384016
2,36,21.20175439
2,50,44.17348928
2,15,27.93567251
2,28,28.55653022
2,49,38.92007797
2,47,38.96783626
2,33,33.66666667
2,27,33.66666667
2,12,29.65497076
2,38,34.86062378
2,42,37.77387915
2,31,33.2368421
2,41,39.06335282
2,39,35.57699805
3,19,13.06851852
3,48,47.91296296
3,45,47.91296296
3,11,14.42962963
3,17,15.15555555
3,16,15.15555555
3,29,25.45462963
3,35,41.10740741
3,40,46.27962963
3,21,23.14074074
3,6,15.33703704
3,18,21.73425926
3,44,47.09629629
3,13,17.51481481
3,9,10.11944445
3,23,23.18611111
3,34,46.37037037
3,10,13.52222222
3,4,13.88518519
3,37,47.32314815
3,5,13.02314815
3,43,48.04907407
3,46,48.04907407
3,3,7.578703707
3,22,23.05
3,30,25.99907407
3,26,25.86296296
3,14,17.51481481
3,20,15.97222222
3,2,5.491666667
3,24,21.23518519
3,1,7.714814813
3,25,25.59074074
3,8,9.121296293
3,32,40.97129629
3,7,8.939814813
3,36,45.28148148
3,50,45.73518519
3,15,10.61851852
3,28,25.59074074
3,49,49.31944445
3,47,49.31944445
3,33,30.53611111
3,27,30.12777778
3,12,9.348148146
3,38,45.00925926
3,42,45.00925926
3,31,26.81574074
3,41,44.60092593
3,39,44.60092593
4,19,17.53406612
4,48,41.97267842
4,45,41.84989135
4,11,1.487764277
4,17,1.128751004
4,16,9.12118276
4,29,25.6155634
4,35,25.6155634
4,40,25.6155634
4,21,17.2281518
4,6,1.15512037
4,18,9.158917268
4,44,42.11979628
4,13,1.119969648
4,9,1.119969648
4,23,17.25717505
4,34,33.80658809
4,10,1.256915926
4,4,1.256915926
4,37,33.65805276
4,5,1.28671606
4,43,41.78929027
4,46,49.76673921
4,3,1.200703584
4,22,17.53752414
4,30,25.53454518
4,26,17.33657717
4,14,1.29234509
4,20,9.069633682
4,2,9.069633682
4,24,9.069633682
4,1,1.294921078
4,25,17.79622944
4,8,1.50214545
4,32,25.41863132
4,7,1.349787986
4,36,34.25690603
4,50,49.83658504
4,15,9.530376313
4,28,17.14673638
4,49,42.16575527
4,47,49.72009484
4,33,33.41609629
4,27,18.16233985
4,12,1.508660392
4,38,33.96515091
4,42,33.96515091
4,31,25.80581308
4,41,25.80581308
4,39,25.80581308
5,19,27.40555555
5,48,46.13444445
5,45,43.68444445
5,11,14.28444445
5,17,16.89777778
5,16,10.96333333
5,29,23.64888889
5,35,28.60333333
5,40,44.71888889
5,21,18.58555555
5,6,15.91777778
5,18,15.37333333
5,44,49.34666667
5,13,15.59111111
5,9,11.23555555
5,23,17.38777778
5,34,30.4
5,10,17.87777778
5,4,14.50222222
5,37,39.71
5,5,10.03777778
5,43,42.97666667
5,46,45.75333333
5,3,6.281111114
5,22,17.06111111
5,30,23.86666667
5,26,18.25888889
5,14,19.67444445
5,20,24.46555555
5,2,9.656666667
5,24,25.60888889
5,1,7.37
5,25,32.14222222
5,8,14.66555555
5,32,36.33444445
5,7,14.99222222
5,36,34.15666667
5,50,48.36666667
5,15,4.266666667
5,28,32.68666667
5,49,40.96222222
5,47,49.34666667
5,33,28.16777778
5,27,23.48555555
5,12,15.31888889
5,38,31.43444445
5,42,36.71555555
5,31,28.00444445
5,41,39.22
5,39,39.22
6,19,17.06111111
6,48,41.60648148
6,45,42.74074074
6,11,19.19351852
6,17,18.60370371
6,16,18.51296296
6,29,28.04074074
6,35,27.04259259
6,40,34.61944445
6,21,19.19351852
6,6,10.48240741
6,18,16.10833333
6,44,44.55555555
6,13,18.10462963
6,9,18.83055555
6,23,19.69259259
6,34,46.64259259
6,10,18.33148148
6,4,17.24259259
6,37,34.75555555
6,5,21.50740741
6,43,33.53055555
6,46,34.43796296
6,3,19.91944445
6,22,25.99907407
6,30,28.72129629
6,26,29.99166667
6,14,22.36944445
6,20,23.68518519
6,2,15.79074074
6,24,26.54351852
6,1,19.55648148
6,25,28.26759259
6,8,16.33518519
6,32,27.63240741
6,7,17.87777778
6,36,33.48518519
6,50,47.86759259
6,15,21.77962963
6,28,25.77222222
6,49,44.60092593
6,47,43.78425926
6,33,34.93703704
6,27,29.49259259
6,12,18.10462963
6,38,41.65185185
6,42,35.11851852
6,31,25.86296296
6,41,33.03148148
6,39,34.25648148
7,19,12.93098958
7,48,49.04296875
7,45,48.91536458
7,11,15.67447917
7,17,20.33203125
7,16,21.54427083
7,29,30.79557292
7,35,31.625
7,40,32.26302083
7,21,17.65234375
7,6,16.82291667
7,18,17.52473958
7,44,40.94010417
7,13,19.11979167
7,9,18.03515625
7,23,26.52083333
7,34,26.52083333
7,10,20.90625
7,4,16.37630208
7,37,30.98697917
7,5,12.80338542
7,43,38.8984375
7,46,47.12890625
7,3,7.31640625
7,22,24.60677083
7,30,27.47786458
7,26,28.5625
7,14,20.01302083
7,20,20.01302083
7,2,16.18489583
7,24,16.18489583
7,1,17.20572917
7,25,17.90755208
7,8,17.90755208
7,32,34.11328125
7,7,14.65364583
7,36,37.62239583
7,50,46.29947917
7,15,20.140625
7,28,21.86328125
7,49,43.81119792
7,47,43.36458333
7,33,31.2421875
7,27,26.96744792
7,12,18.48177083
7,38,32.70963542
7,42,36.28255208
7,31,25.37239583
7,41,36.41015625
7,39,36.34635417
8,19,9.677083333
8,48,41.45052083
8,45,41.45052083
8,11,9.358072917
8,17,9.358072917
8,16,9.358072917
8,29,26.20182292
8,35,26.20182292
8,40,32.64583333
8,21,16.18489583
8,6,16.44010417
8,18,25.56380208
8,44,41.89713542
8,13,17.26953125
8,9,16.75911458
8,23,25.62760417
8,34,33.41145833
8,10,16.95052083
8,4,16.95052083
8,37,33.02864583
8,5,17.14192708
8,43,41.9609375
8,46,41.83333333
8,3,16.56770833
8,22,25.37239583
8,30,33.66666667
8,26,25.24479167
8,14,9.740885417
8,20,17.58854167
8,2,17.52473958
8,24,25.30859375
8,1,17.4609375
8,25,25.43619792
8,8,17.71614583
8,32,33.09244792
8,7,17.20572917
8,36,41.45052083
8,50,45.53385417
8,15,15.73828125
8,28,25.5
8,49,43.55598958
8,47,43.55598958
8,33,40.23828125
8,27,40.23828125
8,12,17.97135417
8,38,33.47526042
8,42,39.08984375
8,31,34.24088542
8,41,38.83463542
8,39,38.8984375
9,19,11.25370371
9,48,45.28148148
9,45,44.78240741
9,11,18.51296296
9,17,12.025
9,16,11.52592593
9,29,24.77407407
9,35,29.31111111
9,40,29.53796296
9,21,25.36388889
9,6,11.07222222
9,18,25.45462963
9,44,35.88981481
9,13,21.05370371
9,9,21.05370371
9,23,24.95555555
9,34,27.04259259
9,10,11.02685185
9,4,12.20648148
9,37,30.21851852
9,5,13.93055555
9,43,37.34166667
9,46,42.65
9,3,6.08148148
9,22,13.02314815
9,30,14.06666667
9,26,12.79629629
9,14,21.91574074
9,20,21.91574074
9,2,14.33888889
9,24,22.41481481
9,1,15.15555555
9,25,19.375
9,8,15.11018519
9,32,25.81759259
9,7,19.60185185
9,36,26.08981481
9,50,35.20925926
9,15,21.14444445
9,28,27.58703704
9,49,44.28333333
9,47,44.82777778
9,33,39.06574074
9,27,30.49074074
9,12,24.04814815
9,38,33.43981481
9,42,35.93518519
9,31,22.23333333
9,41,31.57962963
9,39,31.57962963
10,19,17.0611118
10,48,33.05416736
10,45,30.89907477
10,11,10.05138924
10,17,14.02129838
10,16,13.59027778
10,29,30.01435393
10,35,28.63055625
10,40,33.00879768
10,21,9.529629283
10,6,13.86249931
10,18,16.97037245
10,44,34.6875
10,13,17.99120578
10,9,19.80602059
10,23,29.85555487
10,34,33.39444513
10,10,14.2935199
10,4,17.74166736
10,37,34.14305694
10,5,15.40509259
10,43,41.67454119
10,46,42.5819486
10,3,9.779167704
10,22,12.47870509
10,30,36.18472361
10,26,18.76250069
10,14,19.94212963
10,20,19.94212963
10,2,21.82500069
10,24,32.01064745
10,1,19.89675995
10,25,27.95000069
10,8,22.64166874
10,32,30.94444445
10,7,16.40324281
10,36,34.41527847
10,50,38.38518588
10,15,16.42592593
10,28,27.01990671
10,49,36.77453635
10,47,37.88611249
10,33,17.15185116
10,27,17.15185116
10,12,14.76990671
10,38,33.68935323
10,42,38.22639027
10,31,26.70231551
10,41,29.08425995
10,39,29.78750207
11,19,1.045957435
11,48,49.9615393
11,45,41.95701633
11,11,9.239206642
11,17,17.27664917
11,16,17.22668416
11,29,25.63286451
11,35,25.61234483
11,40,33.53206089
11,21,9.071126369
11,6,1.207589382
11,18,9.264632775
11,44,49.99160604
11,13,9.20072103
11,9,17.25967516
11,23,25.48779785
11,34,33.60737725
11,10,9.350925091
11,4,1.08153707
11,37,49.85974175
11,5,9.19966098
11,43,49.89907308
11,46,49.75329197
11,3,1.102408987
11,22,25.52251018
11,30,33.65435486
11,26,25.35043064
11,14,17.36017009
11,20,17.36017009
11,2,1.016311071
11,24,25.53231642
11,1,9.246931019
11,25,33.5442431
11,8,17.30593499
11,32,41.31973653
11,7,9.10205044
11,36,41.6985182
11,50,49.94044475
11,15,17.43071126
11,28,25.4425316
11,49,49.96434394
11,47,49.90708157
11,33,33.83257867
11,27,25.43888292
11,12,9.282354466
11,38,41.96904569
11,42,49.41752686
11,31,33.72290554
11,41,33.72290554
11,39,41.86987
12,19,25.4546324
12,48,47.32314953
12,45,37.34166667
12,11,21.1898162
12,17,22.00648287
12,16,22.00648287
12,29,26.36203842
12,35,33.48518796
12,40,36.88796574
12,21,23.54907684
12,6,24.91018796
12,18,24.91018796
12,44,34.57407684
12,13,17.65092731
12,9,17.65092731
12,23,17.65092731
12,34,29.1296324
12,10,19.01203842
12,4,19.01203842
12,37,24.41111111
12,5,20.05555555
12,43,30.85370509
12,46,39.47407684
12,3,19.78333333
12,22,19.78333333
12,30,19.78333333
12,26,19.78333333
12,14,20.78148287
12,20,20.78148287
12,2,14.33888889
12,24,18.78518796
12,1,20.50926064
12,25,21.825
12,8,19.46574351
12,32,32.89537175
12,7,24.45648287
12,36,30.53611111
12,50,30.53611111
12,15,22.18796574
12,28,31.5796324
12,49,34.75555555
12,47,34.75555555
12,33,36.70648287
12,27,29.7648162
12,12,19.42037175
12,38,19.14814953
12,42,16.33518588
12,31,23.45833333
12,41,28.72129907
12,39,22.64166667
13,19,17.22444445
13,48,49.78222222
13,45,47.11444445
13,11,14.72
13,17,14.55666667
13,16,18.20444445
13,29,23.21333333
13,35,27.73222222
13,40,29.96444445
13,21,18.53111111
13,6,17.55111111
13,18,20.00111111
13,44,43.41222222
13,13,18.31333333
13,9,18.74888889
13,23,14.93777778
13,34,34.91888889
13,10,20.6
13,4,20.70888889
13,37,31.43444445
13,5,21.25333333
13,43,36.33444445
13,46,37.80444445
13,3,18.53111111
13,22,19.94666667
13,30,19.23888889
13,26,20.05555555
13,14,21.85222222
13,20,21.58
13,2,19.67444445
13,24,20.81777778
13,1,19.94666667
13,25,22.12444445
13,8,20.38222222
13,32,28.87555555
13,7,19.13
13,36,33.28555555
13,50,41.50666667
13,15,22.01555555
13,28,23.10444445
13,49,40.96222222
13,47,42.32333333
13,33,30.50888889
13,27,28.05888889
13,12,22.50555555
13,38,33.55777778
13,42,36.22555555
13,31,29.58333333
13,41,35.08222222
13,39,36.06222222
14,19,17.24259397
14,48,49.86388751
14,45,49.77314815
14,11,1.453703707
14,17,1.136110763
14,16,1.090741083
14,29,25.59074281
14,35,25.59074281
14,40,33.43981481
14,21,17.1972243
14,6,9.166666667
14,18,9.121296987
14,44,41.87870648
