subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanEvidence,groundTruthBinaryHappy,responseHappy,responseSad,changeMind,finalResponseSad,finalResponseHappy
1,22,27,47,38,27,40,7,20,34,4,23,36,27.0833333333333,1,0,1,NaN,1,0
1,4,29,45,20,3,13,32,8,41,24,3,32,21.1666666666667,0,1,0,NaN,0,1
1,22,34,23,47,23,32,19,29,48,19,45,12,29.4166666666667,1,1,0,NaN,0,1
1,39,49,4,19,29,14,3,48,15,22,36,17,24.5833333333333,0,0,1,NaN,1,0
1,38,20,31,45,37,26,25,5,1,10,49,6,24.4166666666667,0,0,1,NaN,1,0
1,27,32,50,2,25,17,25,14,17,33,29,17,24,0,1,0,NaN,0,1
1,48,35,1,21,29,18,20,25,22,3,8,2,19.3333333333333,0,0,1,NaN,1,0
1,15,15,39,36,14,12,28,47,41,32,3,47,27.4166666666667,1,1,0,NaN,0,1
1,15,32,25,26,27,40,42,20,32,1,9,30,24.9166666666667,0,1,0,NaN,0,1
1,2,49,11,11,29,21,22,1,5,42,13,47,21.0833333333333,0,0,1,NaN,1,0
1,5,49,42,36,43,2,35,49,36,30,6,26,29.9166666666667,1,1,0,NaN,0,1
1,24,19,1,49,26,34,26,37,34,18,22,34,27,1,1,0,NaN,0,1
1,31,39,46,17,9,45,41,49,34,23,6,2,28.5,1,1,0,NaN,0,1
1,33,18,42,17,13,45,5,49,20,6,33,42,26.9166666666667,1,0,1,NaN,1,0
1,45,25,10,19,49,2,2,50,26,42,34,38,28.5,1,1,0,NaN,0,1
1,42,31,8,37,31,20,44,36,28,1,38,6,26.8333333333333,1,1,0,NaN,0,1
1,39,41,11,38,36,21,33,19,9,43,41,44,31.25,1,1,0,NaN,0,1
1,29,24,4,13,24,11,44,31,17,47,28,15,23.9166666666667,0,1,0,NaN,0,1
1,23,33,33,24,41,47,29,28,22,42,6,36,30.3333333333333,1,1,0,NaN,0,1
1,28,3,48,36,22,32,23,23,37,39,22,41,29.5,1,0,1,NaN,1,0
1,6,30,16,11,20,34,18,20,24,41,17,3,20,0,0,1,NaN,1,0
1,5,29,39,38,1,9,28,1,22,29,7,6,17.8333333333333,0,1,0,NaN,0,1
1,30,21,42,43,44,28,25,30,29,25,16,36,30.75,1,1,0,NaN,0,1
1,22,17,28,27,29,45,42,36,13,6,19,2,23.8333333333333,0,0,1,NaN,1,0
1,29,17,28,4,28,19,32,22,3,32,6,39,21.5833333333333,0,1,0,NaN,0,1
1,47,40,2,12,42,18,29,43,45,14,45,46,31.9166666666667,1,1,0,NaN,0,1
1,19,5,36,28,31,37,18,34,13,14,24,20,23.25,0,1,0,NaN,0,1
1,41,32,42,33,21,6,7,49,38,24,50,36,31.5833333333333,1,0,1,NaN,1,0
1,22,28,24,50,50,41,8,25,43,9,44,1,28.75,1,1,0,NaN,0,1
1,36,33,27,23,1,16,27,43,16,5,35,49,25.9166666666667,1,1,0,NaN,0,1
1,24,10,30,3,24,45,15,44,34,3,18,25,22.9166666666667,0,1,0,NaN,0,1
1,33,36,12,24,35,42,6,17,48,18,15,39,27.0833333333333,1,0,1,NaN,1,0
1,43,13,6,40,2,3,32,11,37,35,28,38,24,0,1,0,NaN,0,1
1,20,12,5,34,42,6,10,2,17,28,45,49,22.5,0,1,0,NaN,0,1
1,10,41,38,40,29,39,1,18,42,27,10,24,26.5833333333333,1,0,1,NaN,1,0
1,15,23,44,9,25,10,18,35,6,29,42,34,24.1666666666667,0,0,1,NaN,1,0
1,14,46,42,25,28,22,10,31,22,45,44,35,30.3333333333333,1,1,0,NaN,0,1
1,10,19,9,18,30,45,44,2,13,27,1,15,19.4166666666667,0,0,1,NaN,1,0
1,28,27,49,30,45,50,37,14,11,41,15,31,31.5,1,1,0,NaN,0,1
1,25,21,23,41,21,23,8,41,45,1,28,31,25.6666666666667,1,1,0,NaN,0,1
1,6,50,9,20,18,44,4,17,26,12,21,5,19.3333333333333,0,0,1,NaN,1,0
1,25,29,47,4,16,2,41,18,36,41,49,4,26,1,1,0,NaN,0,1
1,49,30,27,17,9,15,34,37,4,2,33,43,25,0,0,1,NaN,1,0
1,20,6,25,34,14,22,6,1,43,2,19,32,18.6666666666667,0,0,1,NaN,1,0
1,31,37,29,38,4,32,29,48,22,28,13,38,29.0833333333333,1,1,0,NaN,0,1
1,32,19,37,27,30,38,26,2,23,7,34,15,24.1666666666667,0,1,0,NaN,0,1
1,24,38,44,28,23,50,47,23,39,45,42,32,36.25,1,1,0,NaN,0,1
1,46,50,14,26,24,13,8,15,32,39,43,42,29.3333333333333,1,0,1,NaN,1,0
