subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanEvidence,groundTruthBinaryHappy,responseHappy,responseSad,responseAIHappy,responseAISad,changeMind,finalResponseSad,finalResponseHappy
1,48,35,1,21,29,18,20,25,22,3,8,2,19.33333333,0,1,0,0,1,NaN,0,1
1,48,47,16,42,28,38,7,20,43,20,25,50,32,1,1,0,0,1,NaN,0,1
1,31,37,29,38,4,32,29,48,22,28,13,38,29.08333333,1,0,1,1,0,NaN,1,0
1,23,30,37,14,6,2,41,37,41,19,49,8,25.58333333,1,1,0,0,1,NaN,0,1
1,26,22,4,47,35,49,10,33,15,10,2,47,25,0,1,0,1,0,NaN,0,1
1,45,1,42,31,33,7,47,34,25,39,30,46,31.66666667,1,1,0,0,1,NaN,0,1
1,15,13,7,44,17,27,22,4,13,44,26,12,20.33333333,0,0,1,0,1,NaN,1,0
1,31,14,43,19,7,23,14,34,50,17,13,24,24.08333333,0,0,1,0,1,NaN,1,0
1,4,35,23,23,1,5,41,10,47,19,8,50,22.16666667,0,1,0,0,1,NaN,0,1
1,43,13,6,40,2,3,32,11,37,35,28,38,24,0,0,1,0,1,NaN,1,0
1,41,2,16,29,2,32,13,18,32,5,5,43,19.83333333,0,0,1,0,1,NaN,1,0
1,19,32,14,24,21,13,25,49,28,44,17,36,26.83333333,1,0,1,0,1,NaN,1,0
1,22,27,47,38,27,40,7,20,34,4,23,36,27.08333333,1,0,1,0,1,NaN,1,0
1,10,19,9,18,30,45,44,2,13,27,1,15,19.41666667,0,0,1,1,0,NaN,1,0
1,27,32,50,2,25,17,25,14,17,33,29,17,24,0,0,1,0,1,NaN,1,0
1,40,6,48,7,2,40,19,32,12,18,24,35,23.58333333,0,0,1,0,1,NaN,1,0
1,23,24,2,21,6,1,14,37,40,10,36,20,19.5,0,0,1,0,1,NaN,1,0
1,24,38,44,28,23,50,47,23,39,45,42,32,36.25,1,1,0,1,0,NaN,0,1
1,4,29,45,20,3,13,32,8,41,24,3,32,21.16666667,0,0,1,0,1,NaN,1,0
1,45,25,10,19,49,2,2,50,26,42,34,38,28.5,1,0,1,0,1,NaN,1,0
1,32,46,15,23,20,14,33,17,38,37,27,31,27.75,1,0,1,0,1,NaN,1,0
1,10,49,35,22,49,19,38,33,19,46,46,8,31.16666667,1,0,1,1,0,NaN,1,0
1,40,28,21,49,50,24,11,45,5,14,6,45,28.16666667,1,0,1,0,1,NaN,1,0
1,28,18,18,27,10,4,22,23,29,9,45,15,20.66666667,0,0,1,0,1,NaN,1,0
1,19,37,11,17,38,15,8,29,1,17,4,46,20.16666667,0,0,1,0,1,NaN,1,0
1,49,30,27,17,9,15,34,37,4,2,33,43,25,0,0,1,0,1,NaN,1,0
1,29,24,4,13,24,11,44,31,17,47,28,15,23.91666667,0,0,1,0,1,NaN,1,0
1,21,30,9,8,7,23,26,21,22,26,35,15,20.25,0,0,1,0,1,NaN,1,0
1,22,28,24,50,50,41,8,25,43,9,44,1,28.75,1,1,0,0,1,NaN,0,1
1,37,5,9,26,23,29,41,20,29,6,7,16,20.66666667,0,0,1,0,1,NaN,1,0
1,10,31,25,3,27,16,2,22,48,48,9,9,20.83333333,0,0,1,0,1,NaN,1,0
1,27,10,2,26,31,49,23,16,8,18,14,28,21,0,0,1,1,0,NaN,1,0
1,46,50,14,26,24,13,8,15,32,39,43,42,29.33333333,1,1,0,0,1,NaN,0,1
1,26,30,28,10,30,28,43,10,6,50,23,20,25.33333333,0,0,1,1,0,NaN,1,0
1,12,2,47,32,22,37,48,3,36,29,15,34,26.41666667,1,0,1,1,0,NaN,1,0
1,5,49,42,36,43,2,35,49,36,30,6,26,29.91666667,1,1,0,0,1,NaN,0,1
1,29,17,28,4,28,19,32,22,3,32,6,39,21.58333333,0,0,1,0,1,NaN,1,0
1,5,1,37,25,27,38,43,36,19,12,8,9,21.66666667,0,0,1,1,0,NaN,1,0
1,6,26,41,32,2,49,49,1,25,9,17,13,22.5,0,0,1,1,0,NaN,1,0
1,47,37,46,14,47,17,46,1,5,22,32,49,30.25,1,0,1,1,0,NaN,1,0
1,2,24,18,34,46,10,44,43,21,19,8,48,26.41666667,1,0,1,0,1,NaN,1,0
1,6,50,9,20,18,44,4,17,26,12,21,5,19.33333333,0,1,0,0,1,NaN,0,1
1,20,6,25,34,14,22,6,1,43,2,19,32,18.66666667,0,0,1,0,1,NaN,1,0
1,37,50,28,35,45,47,5,20,34,8,42,7,29.83333333,1,0,1,1,0,NaN,1,0
1,32,14,40,34,13,36,43,22,50,34,47,5,30.83333333,1,0,1,1,0,NaN,1,0
1,29,23,27,1,1,10,43,26,8,42,7,50,22.25,0,1,0,0,1,NaN,0,1
1,4,1,29,16,25,37,37,42,29,14,32,47,26.08333333,1,0,1,1,0,NaN,1,0
1,26,18,30,24,10,42,1,1,18,48,49,37,25.33333333,0,0,1,0,1,NaN,1,0
1,4,11,49,39,9,33,22,8,6,37,6,5,19.08333333,0,0,1,0,1,NaN,1,0
1,4,14,5,37,4,34,5,50,46,29,19,2,20.75,0,0,1,0,1,NaN,1,0
1,11,45,3,44,49,11,32,19,39,33,27,16,27.41666667,1,0,1,0,1,NaN,1,0
1,31,25,33,46,27,2,22,17,5,48,28,17,25.08333333,0,0,1,0,1,NaN,1,0
1,34,44,35,13,16,29,16,45,50,3,39,24,29,1,1,0,0,1,NaN,0,1
1,25,21,23,41,21,23,8,41,45,1,28,31,25.66666667,1,0,1,0,1,NaN,1,0
1,36,28,7,42,26,41,33,16,45,22,9,17,26.83333333,1,0,1,1,0,NaN,1,0
1,19,36,8,16,10,34,9,4,19,32,30,30,20.58333333,0,0,1,0,1,NaN,1,0
1,32,15,43,35,41,17,42,47,32,19,21,21,30.41666667,1,0,1,1,0,NaN,1,0
1,15,32,25,26,27,40,42,20,32,1,9,30,24.91666667,0,1,0,1,0,NaN,0,1
