subject,evidence,response,responseAI,block
1,48,50.125,49,1
1,86,16.125,85,1
1,78,9,77,1
1,32,10.5,32,1
1,40,50,40,1
1,56,70.25,55,1
1,50,50.125,50,1
1,6,25.125,6,1
1,16,15.125,15,1
1,96,84.75,95,1
1,46,49.625,45,1
1,52,50,53,1
1,58,31.5,59,1
1,38,30,39,1
1,30,49.875,29,1
1,68,50,69,1
1,62,27.375,61,1
1,44,28.375,44,1
1,72,72.125,71,1
1,28,50,28,1
1,70,73.25,70,1
1,42,60.125,43,1
1,64,77.625,65,1
1,50,50.5,49,1
1,34,50.25,34,1
1,60,72.75,60,1
1,36,68.875,36,1
1,22,26.375,23,1
1,54,50.125,53,1
1,66,73.25,67,1
1,96,69.125,95,2
1,68,58.75,69,2
1,56,26,55,2
1,34,68.5,34,2
1,52,50.125,53,2
1,40,69.875,40,2
1,50,50.125,49,2
1,58,50.125,59,2
1,78,73.375,77,2
1,44,55.5,44,2
1,54,50,53,2
1,30,28.875,29,2
1,50,58.375,50,2
1,64,77.625,65,2
1,16,31.375,15,2
1,70,74.25,70,2
1,42,38,43,2
1,38,72,39,2
1,66,32.625,67,2
1,62,71.5,61,2
1,46,67.5,45,2
1,22,35.25,23,2
1,28,31.25,28,2
1,48,64,49,2
1,6,28,6,2
1,60,69.375,60,2
1,86,18.25,85,2
1,32,27.75,32,2
1,72,79.625,71,2
1,36,24.25,36,2
1,68,68.25,69,3
1,64,68.375,65,3
1,50,28.375,50,3
1,40,67.375,40,3
1,32,72.125,32,3
1,56,65.625,55,3
1,46,63,45,3
1,48,63.25,49,3
1,62,60.5,61,3
1,50,49.875,49,3
1,38,68.125,39,3
1,36,27.375,36,3
1,6,31.25,6,3
1,30,34.5,29,3
1,96,81.25,95,3
1,16,76.375,15,3
1,72,80.5,71,3
1,54,85.375,53,3
1,60,72.25,60,3
1,42,24.875,43,3
1,78,72.625,77,3
1,34,31,34,3
1,70,74.375,70,3
1,44,69.125,44,3
1,58,57.375,59,3
1,22,55.625,23,3
1,52,29.25,53,3
1,66,73.375,67,3
1,28,55.75,28,3
1,86,79.375,85,3
1,42,31.125,43,4
1,52,73.75,53,4
1,60,79,60,4
1,28,31.25,28,4
1,16,27.5,15,4
1,50,72.375,49,4
1,62,72.75,61,4
1,36,76,36,4
1,22,69.125,23,4
1,48,28.5,49,4
1,30,59,29,4
1,6,70.25,6,4
1,78,82.5,77,4
1,46,78.75,45,4
1,40,74.25,40,4
1,58,74.75,59,4
1,96,86.625,95,4
1,64,79.25,65,4
1,38,63.375,39,4
1,70,79.5,70,4
1,34,61,34,4
1,32,60.875,32,4
1,66,75.25,67,4
1,86,88,85,4
1,56,64,55,4
1,50,63.75,50,4
1,72,89.125,71,4
1,54,60.5,53,4
1,68,75.25,69,4
1,44,60,44,4
1,86,90,85,5
1,6,28.875,6,5
1,62,66.375,61,5
1,50,62.25,49,5
1,58,54.5,59,5
1,78,72,77,5
1,22,60.875,23,5
1,60,86.875,60,5
1,54,62.125,53,5
1,28,50.25,28,5
1,16,60.375,15,5
1,38,52.375,39,5
1,30,67,29,5
1,64,59.75,65,5
1,44,43.5,44,5
1,52,43.5,53,5
1,36,60.625,36,5
1,50,61.25,50,5
1,68,74.5,69,5
1,42,56.875,43,5
1,66,83.25,67,5
1,46,63,45,5
1,40,33.875,40,5
1,56,70.5,55,5
