subject,evidence,response,responseAI,confidence,collaboration,condition,order,perceivedInfluenceA,perceivedInfluenceB,perceivedInfluenceN
1,56,49.59498875,56,0.332093023,NaN,0,1,5.031048547,5.031048547,5.964199497
1,32,75.23812285,31,0.504281594,NaN,0,1,5.031048547,5.031048547,5.964199497
1,62,26.72907945,63,0.332093023,NaN,0,1,5.031048547,5.031048547,5.964199497
1,28,28.30284335,28,0.673692908,NaN,0,1,5.031048547,5.031048547,5.964199497
1,22,33.5795926,21,0.662583945,NaN,0,1,5.031048547,5.031048547,5.964199497
1,46,49.13210845,45,0.491321085,NaN,0,1,5.031048547,5.031048547,5.964199497
1,30,31.7281031,29,0.669989941,NaN,0,1,5.031048547,5.031048547,5.964199497
1,50,63.85146005,49,0.505207304,NaN,0,1,5.031048547,5.031048547,5.964199497
1,34,49.87271445,33,0.655178012,NaN,0,1,5.031048547,5.031048547,5.964199497
1,50,59.9633263,49,0.166384549,NaN,0,1,5.031048547,5.031048547,5.964199497
1,6,17.7493511,6,0.495024114,NaN,0,1,5.031048547,5.031048547,5.964199497
1,44,40.05980915,44,0.673692908,NaN,0,1,5.031048547,5.031048547,5.964199497
1,66,50.0578564,66,0.500578564,NaN,0,1,5.031048547,5.031048547,5.964199497
1,38,49.4098341,38,0.338573183,NaN,0,1,5.031048547,5.031048547,5.964199497
1,70,49.4098341,71,0.32653851,NaN,0,1,5.031048547,5.031048547,5.964199497
1,42,60.5187776,42,0.657955205,NaN,0,1,5.031048547,5.031048547,5.964199497
1,72,49.68755975,73,0.317281031,NaN,0,1,5.031048547,5.031048547,5.964199497
1,36,49.59498875,36,0.333944443,NaN,0,1,5.031048547,5.031048547,5.964199497
1,78,49.96527905,77,0.665361202,NaN,0,1,5.031048547,5.031048547,5.964199497
1,16,72.1831597,16,0.329315767,NaN,0,1,5.031048547,5.031048547,5.964199497
1,64,34.78305985,65,0.501504337,NaN,0,1,5.031048547,5.031048547,5.964199497
1,58,70.33167655,57,0.670915651,NaN,0,1,5.031048547,5.031048547,5.964199497
