subject,evidence,response,responseAI,block
1,62,50.26041665,61,1
1,72,70.44270835,71,1
1,28,19.01041665,28,1
1,50,47.91666665,49,1
1,58,49.21875,59,1
1,32,18.09895835,32,1
1,48,19.27083335,49,1
1,38,41.40625,39,1
1,40,34.24479165,40,1
1,66,50.13020835,67,1
1,68,68.09895835,69,1
1,86,87.76041665,85,1
1,50,49.21875,50,1
1,60,51.171875,60,1
1,44,20.05208335,44,1
1,42,40.75520835,43,1
1,30,14.0625,29,1
1,16,84.50520835,15,1
1,52,49.73958335,53,1
1,6,9.50520835,6,1
1,64,50.13020835,65,1
1,56,48.046875,55,1
1,70,58.72395835,70,1
1,46,50,45,1
1,22,7.03125,23,1
1,34,78.515625,34,1
1,54,54.42708335,53,1
1,78,92.44791665,77,1
1,96,93.88020835,95,1
1,36,24.08854165,36,1
1,46,50,95,2
1,36,10.02604165,77,2
1,32,81.11979165,68,2
1,62,63.671875,91,2
1,60,59.50520835,86,2
1,22,13.28125,41,2
1,30,29.42708335,62,2
1,78,68.48958335,95,2
1,72,75.13020835,92,2
1,48,49.86979165,74,2
1,68,75.13020835,96,2
1,58,66.53645835,84,2
1,34,16.53645835,67,2
1,52,51.04166665,85,2
1,28,11.19791665,36,2
1,56,49.609375,81,2
1,50,31.25,61,2
1,64,43.61979165,97,2
1,16,5.72916665,56,2
1,96,95.57291665,96,2
1,86,90.36458335,97,2
1,44,36.71875,81,2
1,6,4.296875,32,2
1,42,21.22395835,72,2
1,50,47.00520835,78,2
1,38,39.71354165,49,2
1,70,42.44791665,87,2
1,40,37.76041665,54,2
1,66,56.11979165,87,2
1,54,63.80208335,76,2
1,16,13.671875,56,3
1,64,51.82291665,97,3
1,72,76.04166665,92,3
1,66,65.75520835,87,3
1,86,90.625,97,3
1,30,17.05729165,62,3
1,46,14.453125,95,3
1,58,62.63020835,84,3
1,40,51.04166665,54,3
1,60,50,86,3
1,50,49.86979165,61,3
1,52,50,85,3
1,48,42.1875,74,3
1,70,55.72916665,87,3
1,32,12.63020835,68,3
1,78,83.984375,95,3
1,68,62.23958335,96,3
1,36,10.546875,77,3
1,50,48.046875,78,3
1,42,10.02604165,72,3
1,38,79.55729165,49,3
1,6,1.04166665,32,3
1,44,12.76041665,81,3
1,28,10.80729165,36,3
1,34,14.19270835,67,3
1,54,23.30729165,76,3
1,56,44.53125,81,3
1,62,57.68229165,91,3
1,22,77.60416665,41,3
1,96,96.22395835,96,3
1,54,40.625,76,4
1,38,22.39583335,49,4
1,22,16.27604165,41,4
1,28,10.9375,36,4
1,40,37.890625,54,4
1,44,45.05208335,81,4
1,62,50.91145835,91,4
1,50,53.125,61,4
1,64,50.13020835,97,4
1,6,2.60416665,32,4
1,58,56.51041665,84,4
1,66,84.50520835,87,4
1,96,94.921875,96,4
1,42,34.765625,72,4
1,86,92.1875,97,4
1,50,44.53125,78,4
1,52,61.328125,85,4
1,70,84.375,87,4
1,72,68.48958335,92,4
1,32,10.15625,68,4
1,60,52.34375,86,4
1,30,12.36979165,62,4
1,34,18.88020835,67,4
1,68,60.67708335,96,4
1,36,24.86979165,77,4
1,48,51.69270835,74,4
1,56,42.1875,81,4
1,46,27.47395835,95,4
1,78,76.953125,95,4
1,16,80.33854165,56,4
1,72,67.44791665,92,5
1,66,61.45833335,87,5
1,54,44.40104165,76,5
1,22,35.28645835,41,5
1,44,38.671875,81,5
1,50,46.09375,61,5
1,32,32.29166665,68,5
1,56,41.66666665,81,5
1,60,50.13020835,86,5
1,96,96.61458335,96,5
1,64,57.16145835,97,5
1,50,47.52604165,78,5
1,58,56.38020835,84,5
1,38,5.59895835,49,5
1,28,7.55208335,36,5
1,68,63.15104165,96,5
1,52,44.01041665,85,5
1,30,13.671875,62,5
1,86,94.53125,97,5
1,40,45.96354165,54,5
1,48,38.93229165,74,5
1,34,13.41145835,67,5
1,16,2.734375,56,5
1,70,50.91145835,87,5
1,78,67.70833335,95,5
1,46,33.46354165,95,5
1,6,1.953125,32,5
1,42,35.41666665,72,5
1,62,51.04166665,91,5
1,36,10.41666665,77,5
1,6,8.72395835,32,6
1,78,85.80729165,95,6
1,58,71.74479165,84,6
1,28,6.25,36,6
1,72,67.44791665,92,6
1,48,50.390625,74,6
1,68,64.84375,96,6
1,64,67.83854165,97,6
1,42,45.44270835,72,6
1,46,50.78125,95,6
1,62,54.94791665,91,6
1,70,69.140625,87,6
1,60,58.984375,86,6
1,36,35.41666665,77,6
1,96,95.703125,96,6
1,50,52.47395835,78,6
1,30,9.24479165,62,6
1,16,76.43229165,56,6
1,44,51.5625,81,6
1,38,43.09895835,49,6
1,50,39.97395835,61,6
1,86,94.01041665,97,6
1,22,14.71354165,41,6
1,56,50,81,6
1,34,24.73958335,67,6
1,40,36.06770835,54,6
1,52,50.52083335,85,6
1,54,53.515625,76,6
1,66,60.28645835,87,6
1,32,15.36458335,68,6
2,28,76.41509435,28,1
2,30,78.3018868,29,1
2,60,78.3018868,60,1
2,68,78.3018868,69,1
2,48,78.3018868,49,1
2,66,78.05031445,67,1
2,78,78.05031445,77,1
2,38,78.05031445,39,1
2,56,78.05031445,55,1
2,50,78.05031445,50,1
2,70,78.05031445,70,1
2,86,78.05031445,85,1
2,96,95.5345912,95,1
2,16,95.5345912,15,1
2,54,95.5345912,53,1
2,64,95.5345912,65,1
2,40,95.5345912,40,1
2,44,95.5345912,44,1
2,22,95.5345912,23,1
2,34,95.5345912,34,1
2,62,95.5345912,61,1
2,58,95.5345912,59,1
2,32,95.5345912,32,1
2,36,69.74842765,36,1
2,6,69.74842765,6,1
2,52,69.74842765,53,1
2,50,69.74842765,49,1
2,46,87.73584905,45,1
2,42,87.73584905,43,1
2,72,87.73584905,71,1
2,60,78.5534591,86,2
2,34,95.66037735,67,2
2,16,54.7798742,56,2
2,28,78.9308176,36,2
2,50,79.81132075,61,2
2,68,23.081761,96,2
2,96,93.1446541,96,2
2,66,89.245283,87,2
2,44,72.1383648,81,2
2,62,78.05031445,91,2
2,42,99.18238995,72,2
2,72,24.96855345,92,2
2,32,33.64779875,68,2
2,64,72.26415095,97,2
2,40,77.9245283,54,2
2,70,77.9245283,87,2
2,38,77.1698113,49,2
2,50,93.27044025,78,2
2,56,93.27044025,81,2
2,46,93.27044025,95,2
2,48,93.27044025,74,2
2,36,90.754717,77,2
2,86,90.754717,97,2
2,30,92.64150945,62,2
2,6,86.72955975,32,2
2,58,79.05660375,84,2
2,78,78.6792453,95,2
2,52,62.57861635,85,2
2,54,62.57861635,76,2
