choice,subject,condition,control
3,1,0,0
3,1,0,0
3,1,0,0
4,1,0,0
3,1,0,0
4,1,0,0
1,1,0,0
6,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
4,1,0,0
3,1,0,0
4,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
1,1,0,0
5,1,0,0
5,1,0,0
3,1,0,0
3,1,0,0
5,1,0,0
5,1,0,0
5,1,0,0
5,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
5,1,0,0
4,1,0,0
4,1,0,0
4,1,0,0
3,1,0,0
6,1,0,0
5,1,0,0
4,1,0,0
3,1,0,0
3,1,0,0
5,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
1,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
5,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
5,1,0,0
1,1,0,0
3,1,0,0
5,1,0,0
6,1,0,0
3,1,0,0
4,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
3,1,0,0
1,1,0,0
3,1,0,0
5,1,0,0
5,1,0,0
3,1,0,0
1,1,0,0
5,1,0,0
6,1,0,0
1,1,0,0
5,1,0,0
3,1,0,0
3,1,0,0
4,1,0,0
4,1,0,0
1,1,0,0
1,1,0,0
3,1,0,0
5,1,0,0
3,1,0,0
5,1,0,0
4,1,0,0
3,1,0,0
3,1,0,0
4,1,0,0
4,1,0,0
3,1,0,0
1,1,0,0
4,1,0,0
3,1,0,0
5,1,0,0
3,1,0,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
5,1,1,0
3,1,1,0
5,1,1,0
3,1,1,0
1,1,1,0
5,1,1,0
1,1,1,0
5,1,1,0
3,1,1,0
6,1,1,0
3,1,1,0
5,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
4,1,1,0
5,1,1,0
3,1,1,0
4,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
1,1,1,0
5,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
3,1,1,0
1,1,1,0
3,1,1,0
